732,729,562
972,864,888
972,888,869
284,173,174
980,979,878
980,965,979
712,725,554
962,918,920
983,895,893
237,106,107
983,953,895
1041,948,1066
281,84,85
723,958,746
1007,940,1006
1027,952,1011
962,998,918
731,734,565
989,987,902
997,998,964
1066,1000,712
1022,1023,1004
444,267,265
608,442,440
958,981,746
958,881,981
280,171,172
963,737,957
957,843,926
984,986,899
1036,949,1017
995,993,912
1050,1021,964
265,92,93
712,946,725
1022,1004,1002
945,917,915
945,915,996
247,5,102
1051,966,755
946,927,725
944,919,917
944,917,945
1015,976,974
751,965,752
978,875,976
978,959,877
332,47,48
757,760,591
1015,1016,976
312,187,1
980,880,967
1059,962,749
358,60,61
757,591,589
1040,757,589
579,411,409
257,96,97
1008,733,735
999,928,930
358,61,360
1041,1002,948
1040,886,757
1050,966,1035
1021,997,964
334,48,49
991,989,904
1019,989,991
972,1056,595
260,161,162
1023,1006,1004
1040,884,886
225,112,113
265,267,92
982,882,884
231,109,110
531,358,360
1013,965,980
262,162,163
1013,980,967
1008,999,733
262,260,162
1008,928,999
1021,995,997
1019,991,993
1026,947,1020
1018,994,992
280,278,171
1015,974,975
1015,975,977
1009,921,919
1009,919,944
1019,993,995
1019,995,1021
1018,1020,994
1017,988,986
1011,1003,1005
1023,1007,1006
1023,1005,1007
1023,1011,1005
1010,955,1001
215,117,118
212,138,139
202,133,134
1010,1001,954
208,136,137
1012,977,979
1050,964,754
211,119,120
287,81,82
1027,1011,1023
1052,952,1027
1033,1016,1015
319,33,34
246,155,5
243,103,104
1012,1015,977
212,139,214
1035,1019,1021
330,46,47
244,154,155
1014,987,989
1026,1020,1018
1017,1018,988
1050,754,753
1024,1009,944
341,22,23
194,129,130
1025,945,996
1025,996,1020
1026,1018,1017
1026,1017,949
1027,1022,950
1027,1023,1022
1054,831,833
1038,924,829
361,12,13
1033,1015,1012
1060,864,862
257,259,96
199,125,126
327,29,30
192,726,557
534,363,361
721,953,983
1038,831,1054
1054,743,1064
1053,744,738
1065,722,553
1069,578,747
267,91,92
1028,719,925
1035,966,1014
1060,862,785
1062,742,573
745,548,1068
385,203,201
319,321,33
1000,946,712
388,204,206
862,593,887
960,1013,967
